,Player,Nation,Pos,Age,new_pound_value
0,Rhian Brewster,eng ENG,"FW,MF",23.0,35000
1,Anel Ahmedhodžić,ba BIH,DF,24.0,30000
2,Vinicius Souza,br BRA,MF,24.0,30000
3,Tom Davies,eng ENG,MF,25.0,30000
4,Cameron Archer,eng ENG,"FW,MF",22.0,30000
5,Gustavo Hamer,nl NED,MF,26.0,30000
6,Oliver McBurnie,sct SCO,FW,27.0,25000
7,Auston Trusty,us USA,DF,24.0,25000
8,John Fleck,sct SCO,"MF,DF",31.0,25000
9,Adam Davies,wls WAL,GK,31.0,25000
10,Jack Robinson,eng ENG,DF,29.0,25000
11,Jayden Bogle,eng ENG,DF,23.0,20000
12,Oliver Norwood,nir NIR,MF,32.0,20000
13,Jordan Amissah,,GK,22.0,20000
14,Ben Osborn,eng ENG,"DF,MF",28.0,20000
15,Luke Thomas,eng ENG,DF,22.0,15000
16,Chris Basham,eng ENG,"DF,MF",35.0,15000
17,James McAtee,,CM,20.0,15000
18,John Egan,ie IRL,DF,30.0,12500
19,William Osula,,CF,20.0,12500
20,Wes Foderingham,eng ENG,GK,32.0,12500
21,Anis Slimane,,CM,22.0,12500
22,George Baldock,gr GRE,DF,30.0,10000
23,Max Lowe,eng ENG,"DF,MF",26.0,10000
24,Yasser Larouci,dz ALG,DF,22.0,10000
25,Ismaila Coulibaly,,CM,22.0,10000
26,Bénie Traoré,,CF,20.0,10000
27,Femi Seriki,eng ENG,DF,21.0,10000
28,Rhys Norrington-Davies,wls WAL,DF,24.0,4000
29,Daniel Jebbison,eng ENG,CF,20.0,4000
0,Kai Havertz,de GER,MF,24.0,280000
1,Gabriel Jesus,br BRA,FW,26.0,265000
2,Declan Rice,eng ENG,MF,24.0,240000
3,Martin Ødegaard,no NOR,MF,24.0,240000
4,Thomas Partey,gh GHA,MF,30.0,200000
5,Bukayo Saka,eng ENG,FW,21.0,195000
6,William Saliba,fr FRA,DF,22.0,190000
7,Gabriel Martinelli,br BRA,FW,22.0,180000
8,Oleksandr Zinchenko,ua UKR,DF,26.0,150000
9,Ben White,eng ENG,DF,25.0,120000
10,Aaron Ramsdale,eng ENG,GK,25.0,120000
11,Jorginho,it ITA,MF,31.0,110000
12,Gabriel Dos Santos,br BRA,DF,25.0,100000
13,Eddie Nketiah,eng ENG,"FW,MF",24.0,100000
14,Reiss Nelson,eng ENG,FW,23.0,100000
15,Jurriën Timber,nl NED,DF,22.0,90000
16,Leandro Trossard,be BEL,FW,28.0,90000
17,David Raya,es ESP,GK,27.0,85000
18,Cédric Soares,pt POR,DF,31.0,75000
19,Jakub Kiwior,pl POL,DF,23.0,58000
20,Mohamed Elneny,eg EGY,MF,31.0,55000
21,Takehiro Tomiyasu,jp JPN,DF,24.0,55000
22,Fabio Vieira,pt POR,FW,23.0,45000
23,Emile Smith Rowe,eng ENG,MF,23.0,40000
24,Karl Jakob Hein,ee EST,GK,21.0,10000
0,Casemiro,br BRA,MF,31.0,350000
1,Raphaël Varane,fr FRA,DF,30.0,340000
2,Marcus Rashford,eng ENG,FW,25.0,300000
3,Mason Mount,eng ENG,"MF,FW",24.0,250000
4,Anthony Martial,fr FRA,"FW,DF",27.0,250000
5,Jadon Sancho,eng ENG,"FW,MF",23.0,250000
6,Bruno Fernandes,pt POR,"MF,FW",28.0,240000
7,Antony,br BRA,FW,23.0,200000
8,Harry Maguire,eng ENG,DF,30.0,190000
9,Luke Shaw,eng ENG,DF,28.0,150000
10,Christian Eriksen,dk DEN,MF,31.0,150000
11,Victor Lindelöf,se SWE,DF,29.0,120000
12,Lisandro Martínez,ar ARG,DF,25.0,120000
13,Donny van de Beek,nl NED,DF,26.0,120000
14,André Onana,cm CMR,GK,27.0,120000
15,Aaron Wan-Bissaka,eng ENG,DF,25.0,90000
16,Rasmus Højlund,dk DEN,FW,20.0,85000
17,Diogo Dalot,pt POR,DF,24.0,85000
18,Tyrell Malacia,nl NED,LB,24.0,75000
19,Jonny Evans,nir NIR,DF,35.0,65000
20,Sofyan Amrabat,ma MAR,"MF,DF",26.0,65000
21,Scott McTominay,sct SCO,MF,26.0,60000
22,Sergio Reguilón,es ESP,DF,26.0,53000
23,Alejandro Garnacho,,LW,19.0,50000
24,Tom Heaton,eng ENG,GK,37.0,45000
25,Altay Bayındır,tr TUR,GK,25.0,35000
26,Amad Diallo,ci CIV,FW,21.0,28846
27,Facundo Pellistri,uy URU,FW,21.0,20000
28,Kobbie Mainoo,,CM,18.0,10000
29,Hannibal,,AM,20.0,5000
30,Shola Shoretire,eng ENG,MF,19.0,5000
0,Raheem Sterling,eng ENG,"FW,MF",28.0,325000
1,Reece James,eng ENG,DF,23.0,250000
2,Wesley Fofana,fr FRA,CB,22.0,200000
3,Ben Chilwell,eng ENG,"DF,MF",26.0,200000
4,Christopher Nkunku,fr FRA,"MF,FW",25.0,195000
5,Enzo Fernández,ar ARG,MF,22.0,180000
6,Marc Cucurella,es ESP,DF,25.0,175000
7,Moisés Caicedo,ec ECU,MF,21.0,150000
8,Malang Sarr,fr FRA,CB,24.0,120000
9,Thiago Silva,br BRA,DF,38.0,110000
10,Carney Chukwuemeka,eng ENG,MF,19.0,100000
11,Levi Colwill,eng ENG,DF,20.0,100000
12,Mykhailo Mudryk,ua UKR,FW,22.0,100000
13,Benoît Badiashile,fr FRA,DF,22.0,90000
14,Axel Disasi,fr FRA,DF,25.0,80000
15,Cole Palmer,eng ENG,"FW,MF",21.0,75000
16,Nicolas Jackson,sn SEN,FW,22.0,65000
17,Robert Sánchez,es ESP,GK,25.0,60000
18,Conor Gallagher,eng ENG,MF,23.0,50000
19,Noni Madueke,,RW,21.0,50000
20,Trevoh Chalobah,eng ENG,CB,24.0,50000
21,Malo Gusto,fr FRA,DF,20.0,45000
22,Lesley Ugochukwu,fr FRA,MF,19.0,45000
23,Roméo Lavia,,DM,19.0,45000
24,Armando Broja,al ALB,FW,21.0,40000
25,Marcus Bettinelli,eng ENG,GK,31.0,35000
26,Đorđe Petrović,rs SRB,GK,23.0,25000
27,Ian Maatsen,nl NED,"FW,MF",21.0,20000
28,Deivid Washington,,CF,18.0,7000
0,Son Heung-min,kr KOR,FW,31.0,190000
1,Ivan Perišić,hr CRO,FW,34.0,180000
2,James Maddison,eng ENG,MF,26.0,170000
3,Cristian Romero,ar ARG,DF,25.0,165000
