,Pos,Age,Starts,Player,urls,scouting_url,position_group
0,DF,30.0,37,Pontus Jansson,https://fbref.com/en/players/172e52d8/Pontus-Jansson,https://fbref.com/en/players/172e52d8/scout/365_euro/Pontus-Jansson-Scouting-Report,Defender
1,MF,27.0,35,Christian Norgaard,https://fbref.com/en/players/df0a4c90/Christian-Norgaard,https://fbref.com/en/players/df0a4c90/scout/365_euro/Christian-Norgaard-Scouting-Report,Central Midfielders
2,FW,21.0,34,Bryan Mbeumo,https://fbref.com/en/players/6afaebf2/Bryan-Mbeumo,https://fbref.com/en/players/6afaebf2/scout/365_euro/Bryan-Mbeumo-Scouting-Report,Forwards
3,DF,24.0,33,Rico Henry,https://fbref.com/en/players/8a3c1dc7/Rico-Henry,https://fbref.com/en/players/8a3c1dc7/scout/365_euro/Rico-Henry-Scouting-Report,Defender
4,FW,25.0,32,Ivan Toney,https://fbref.com/en/players/e09f279b/Ivan-Toney,https://fbref.com/en/players/e09f279b/scout/365_euro/Ivan-Toney-Scouting-Report,Forwards
5,DF,28.0,32,Ethan Pinnock,https://fbref.com/en/players/e541326e/Ethan-Pinnock,https://fbref.com/en/players/e541326e/scout/365_euro/Ethan-Pinnock-Scouting-Report,Defender
6,MF,23.0,27,Vitaly Janelt,https://fbref.com/en/players/8449d35e/Vitaly-Janelt,https://fbref.com/en/players/8449d35e/scout/365_euro/Vitaly-Janelt-Scouting-Report,Central Midfielders
7,DF,24.0,25,Sergi Canos,https://fbref.com/en/players/1137759d/Sergi-Canos,https://fbref.com/en/players/1137759d/scout/365_euro/Sergi-Canos-Scouting-Report,Defender
8,GK,25.0,24,David Raya,https://fbref.com/en/players/98ea5115/David-Raya,https://fbref.com/en/players/98ea5115/scout/365_euro/David-Raya-Scouting-Report,GK
9,DF,23.0,23,Kristoffer Ajer,https://fbref.com/en/players/a8c0acb7/Kristoffer-Ajer,https://fbref.com/en/players/a8c0acb7/scout/365_euro/Kristoffer-Ajer-Scouting-Report,Defender
10,MF,25.0,19,Mathias Jensen,https://fbref.com/en/players/0f134faf/Mathias-Jensen,https://fbref.com/en/players/0f134faf/scout/365_euro/Mathias-Jensen-Scouting-Report,Central Midfielders
11,"FW,MF",24.0,12,Yoane Wissa,https://fbref.com/en/players/2500cef9/Yoane-Wissa,https://fbref.com/en/players/2500cef9/scout/365_euro/Yoane-Wissa-Scouting-Report,Attacking Midfielders
12,DF,22.0,12,Mads Roerslev,https://fbref.com/en/players/57c94db2/Mads-Roerslev,https://fbref.com/en/players/57c94db2/scout/365_euro/Mads-Roerslev-Scouting-Report,Defender
13,GK,23.0,12,Alvaro Fernandez,https://fbref.com/en/players/f127d782/Alvaro-Fernandez,https://fbref.com/en/players/f127d782/scout/365_euro/Alvaro-Fernandez-Scouting-Report,GK
14,MF,23.0,12,Frank Onyeka,https://fbref.com/en/players/2944f86f/Frank-Onyeka,https://fbref.com/en/players/2944f86f/scout/365_euro/Frank-Onyeka-Scouting-Report,Central Midfielders
15,MF,29.0,10,Christian Eriksen,https://fbref.com/en/players/980522ec/Christian-Eriksen,https://fbref.com/en/players/980522ec/scout/365_euro/Christian-Eriksen-Scouting-Report,Central Midfielders
16,MF,23.0,9,Shandon Baptiste,https://fbref.com/en/players/2886c9b5/Shandon-Baptiste,https://fbref.com/en/players/2886c9b5/scout/365_euro/Shandon-Baptiste-Scouting-Report,Central Midfielders
17,DF,22.0,9,Mads Bech Sorensen,https://fbref.com/en/players/30db8574/Mads-Bech-Sorensen,https://fbref.com/en/players/30db8574/scout/365_euro/Mads-Bech-Sorensen-Scouting-Report,Defender
18,DF,31.0,6,Mathias Jorgensen,https://fbref.com/en/players/0db5d2c8/Mathias-Jorgensen,https://fbref.com/en/players/0db5d2c8/scout/365_euro/Mathias-Jorgensen-Scouting-Report,Defender
19,"DF,MF",27.0,4,Saman Ghoddos,https://fbref.com/en/players/f7b1d4e0/Saman-Ghoddos,https://fbref.com/en/players/f7b1d4e0/scout/365_euro/Saman-Ghoddos-Scouting-Report,Defender
20,DF,25.0,4,Charlie Goode,https://fbref.com/en/players/7aee4dd3/Charlie-Goode,https://fbref.com/en/players/7aee4dd3/scout/365_euro/Charlie-Goode-Scouting-Report,Defender
21,"MF,FW",22.0,2,Josh Dasilva,https://fbref.com/en/players/60344e4f/Josh-Dasilva,https://fbref.com/en/players/60344e4f/scout/365_euro/Josh-Dasilva-Scouting-Report,Attacking Midfielders
22,GK,32.0,2,Jonas Lossl,https://fbref.com/en/players/939bc634/Jonas-Lossl,https://fbref.com/en/players/939bc634/scout/365_euro/Jonas-Lossl-Scouting-Report,GK
23,DF,21.0,2,Dominic Thompson,https://fbref.com/en/players/235a62f8/Dominic-Thompson,https://fbref.com/en/players/235a62f8/scout/365_euro/Dominic-Thompson-Scouting-Report,Defender
24,"FW,MF",22.0,1,Marcus Forss,https://fbref.com/en/players/82c215a0/Marcus-Forss,https://fbref.com/en/players/82c215a0/scout/365_euro/Marcus-Forss-Scouting-Report,Attacking Midfielders
25,MF,20.0,0,Mads Bidstrup,https://fbref.com/en/players/407db0d5/Mads-Bidstrup,https://fbref.com/en/players/407db0d5/scout/365_euro/Mads-Bidstrup-Scouting-Report,Central Midfielders
26,DF,25.0,0,Tariqe Fosu,https://fbref.com/en/players/3dcef539/Tariqe-Fosu,https://fbref.com/en/players/3dcef539/scout/365_euro/Tariqe-Fosu-Scouting-Report,Defender
27,DF,18.0,0,Finley Stevens,https://fbref.com/en/players/7e003182/Finley-Stevens,https://fbref.com/en/players/7e003182/scout/365_euro/Finley-Stevens-Scouting-Report,Defender
28,FW,18.0,0,Nathan Young Coombes,https://fbref.com/en/players/f9682888/Nathan-Young-Coombes,https://fbref.com/en/players/f9682888/scout/365_euro/Nathan-Young-Coombes-Scouting-Report,Forwards
29,GK,18.0,0,Matthew Cox,https://fbref.com/en/players/fea06849/Matthew-Cox,https://fbref.com/en/players/fea06849/scout/365_euro/Matthew-Cox-Scouting-Report,GK
30,FW,21.0,0,Halil Dervisoglu,https://fbref.com/en/players/9d8cf204/Halil-Dervisoglu,https://fbref.com/en/players/9d8cf204/scout/365_euro/Halil-Dervisoglu-Scouting-Report,Forwards
31,GK,20.0,0,Patrik Gunnarsson,https://fbref.com/en/players/4d39152d/Patrik-Gunnarsson,https://fbref.com/en/players/4d39152d/scout/365_euro/Patrik-Gunnarsson-Scouting-Report,GK
32,MF,19.0,0,Maxwell Haygarth,https://fbref.com/en/players/2294d430/Maxwell-Haygarth,https://fbref.com/en/players/2294d430/scout/365_euro/Maxwell-Haygarth-Scouting-Report,Central Midfielders
33,DF,29.0,0,Julian Jeanvier,https://fbref.com/en/players/5cb215fc/Julian-Jeanvier,https://fbref.com/en/players/5cb215fc/scout/365_euro/Julian-Jeanvier-Scouting-Report,Defender
34,MF,20.0,0,Edmond Paris Maghoma,https://fbref.com/en/players/8a3ddcd2/Edmond-Paris-Maghoma,https://fbref.com/en/players/8a3ddcd2/scout/365_euro/Edmond-Paris-Maghoma-Scouting-Report,Central Midfielders
