,team,xg_diff,xg_for,xg_against,team_id
0,Nott'ham Forest,-3.2,2.8,5.9,10203
1,Bournemouth,-3.1,0.9,4.0,8678
2,Leicester City,-2.3,1.5,3.7,8197
3,West Ham,-2.1,3.2,5.3,8654
4,Southampton,-1.6,2.3,3.8,8466
5,Aston Villa,-1.5,3.5,5.0,10252
6,Manchester Utd,-0.7,4.1,4.9,10260
7,Wolves,-0.6,2.7,3.4,8602
8,Everton,-0.5,3.8,4.3,8668
9,Newcastle Utd,-0.2,4.0,4.1,10261
10,Fulham,0.3,4.4,4.1,9879
11,Chelsea,0.3,3.7,3.5,8455
12,Brentford,0.5,3.7,3.2,9937
13,Liverpool,0.6,5.1,4.5,8650
14,Tottenham,1.4,4.1,2.8,8586
15,Brighton,1.6,4.2,2.6,10204
16,Crystal Palace,1.6,5.5,4.0,9826
17,Leeds United,1.6,4.6,3.0,8463
18,Arsenal,3.5,5.4,1.8,9825
19,Manchester City,4.3,6.6,2.3,8456
