,Name,Age,new_pound_value,team_id,team,Wage_Bin,Count
0,Rhian Brewster,23.0,35000,8657,Sheffield Utd,£10k-£50k,20
1,Tom Davies,25.0,30000,8657,Sheffield Utd,£10k-£50k,20
2,Cameron Archer,22.0,30000,8657,Sheffield Utd,£10k-£50k,20
3,Gustavo Hamer,26.0,30000,8657,Sheffield Utd,£10k-£50k,20
4,Oliver McBurnie,27.0,25000,8657,Sheffield Utd,£10k-£50k,20
5,Auston Trusty,24.0,25000,8657,Sheffield Utd,£10k-£50k,20
6,John Fleck,31.0,25000,8657,Sheffield Utd,£10k-£50k,20
7,Adam Davies,31.0,25000,8657,Sheffield Utd,£10k-£50k,20
8,Jack Robinson,29.0,25000,8657,Sheffield Utd,£10k-£50k,20
9,Jayden Bogle,23.0,20000,8657,Sheffield Utd,£10k-£50k,20
10,Oliver Norwood,32.0,20000,8657,Sheffield Utd,£10k-£50k,20
11,Jordan Amissah,22.0,20000,8657,Sheffield Utd,£10k-£50k,20
12,Ben Osborn,28.0,20000,8657,Sheffield Utd,£10k-£50k,20
13,Chris Basham,35.0,15000,8657,Sheffield Utd,£10k-£50k,20
14,James McAtee,20.0,15000,8657,Sheffield Utd,£10k-£50k,20
15,John Egan,30.0,12500,8657,Sheffield Utd,£10k-£50k,20
16,William Osula,20.0,12500,8657,Sheffield Utd,£10k-£50k,20
17,George Baldock,30.0,10000,8657,Sheffield Utd,<£10k,17
18,Max Lowe,26.0,10000,8657,Sheffield Utd,<£10k,17
19,Yasser Larouci,22.0,10000,8657,Sheffield Utd,<£10k,17
20,Femi Seriki,21.0,10000,8657,Sheffield Utd,<£10k,17
21,Rhys Norrington-Davies,24.0,4000,8657,Sheffield Utd,<£10k,17
22,Daniel Jebbison,20.0,4000,8657,Sheffield Utd,<£10k,17
23,Kai Havertz,24.0,280000,9825,Arsenal,£200k+,5
24,Gabriel Jesus,26.0,265000,9825,Arsenal,£200k+,5
25,Declan Rice,24.0,240000,9825,Arsenal,£200k+,5
26,Martin Ødegaard,24.0,240000,9825,Arsenal,£200k+,5
27,Thomas Partey,30.0,200000,9825,Arsenal,£150k-£200k,6
28,Bukayo Saka,21.0,195000,9825,Arsenal,£150k-£200k,6
29,William Saliba,22.0,190000,9825,Arsenal,£150k-£200k,6
30,Gabriel Martinelli,22.0,180000,9825,Arsenal,£150k-£200k,6
31,Oleksandr Zinchenko,26.0,150000,9825,Arsenal,£100k-£150k,11
32,Ben White,25.0,120000,9825,Arsenal,£100k-£150k,11
33,Aaron Ramsdale,25.0,120000,9825,Arsenal,£100k-£150k,11
34,Jorginho,31.0,110000,9825,Arsenal,£100k-£150k,11
35,Reiss Nelson,23.0,100000,9825,Arsenal,£80k-£100k,14
36,Leandro Trossard,28.0,90000,9825,Arsenal,£80k-£100k,14
37,David Raya,27.0,85000,9825,Arsenal,£80k-£100k,14
38,Cédric Soares,31.0,75000,9825,Arsenal,£50k-£80k,17
39,Jakub Kiwior,23.0,58000,9825,Arsenal,£50k-£80k,17
40,Mohamed Elneny,31.0,55000,9825,Arsenal,£50k-£80k,17
41,Takehiro Tomiyasu,24.0,55000,9825,Arsenal,£50k-£80k,17
42,Fabio Vieira,23.0,45000,9825,Arsenal,£10k-£50k,20
43,Emile Smith Rowe,23.0,40000,9825,Arsenal,£10k-£50k,20
44,Casemiro,31.0,350000,10260,Manchester Utd,£200k+,5
45,Raphaël Varane,30.0,340000,10260,Manchester Utd,£200k+,5
46,Marcus Rashford,25.0,300000,10260,Manchester Utd,£200k+,5
47,Mason Mount,24.0,250000,10260,Manchester Utd,£200k+,5
48,Anthony Martial,27.0,250000,10260,Manchester Utd,£200k+,5
49,Bruno Fernandes,28.0,240000,10260,Manchester Utd,£200k+,5
50,Antony,23.0,200000,10260,Manchester Utd,£150k-£200k,6
51,Harry Maguire,30.0,190000,10260,Manchester Utd,£150k-£200k,6
52,Luke Shaw,28.0,150000,10260,Manchester Utd,£100k-£150k,11
53,Christian Eriksen,31.0,150000,10260,Manchester Utd,£100k-£150k,11
54,Aaron Wan-Bissaka,25.0,90000,10260,Manchester Utd,£80k-£100k,14
55,Rasmus Højlund,20.0,85000,10260,Manchester Utd,£80k-£100k,14
56,Diogo Dalot,24.0,85000,10260,Manchester Utd,£80k-£100k,14
57,Tyrell Malacia,24.0,75000,10260,Manchester Utd,£50k-£80k,17
58,Jonny Evans,35.0,65000,10260,Manchester Utd,£50k-£80k,17
59,Sofyan Amrabat,26.0,65000,10260,Manchester Utd,£50k-£80k,17
60,Scott McTominay,26.0,60000,10260,Manchester Utd,£50k-£80k,17
61,Alejandro Garnacho,19.0,50000,10260,Manchester Utd,£10k-£50k,20
62,Tom Heaton,37.0,45000,10260,Manchester Utd,£10k-£50k,20
63,Facundo Pellistri,21.0,20000,10260,Manchester Utd,£10k-£50k,20
64,Kobbie Mainoo,18.0,10000,10260,Manchester Utd,<£10k,17
65,Raheem Sterling,28.0,325000,8455,Chelsea,£200k+,5
66,Reece James,23.0,250000,8455,Chelsea,£200k+,5
67,Wesley Fofana,22.0,200000,8455,Chelsea,£150k-£200k,6
68,Ben Chilwell,26.0,200000,8455,Chelsea,£150k-£200k,6
69,Christopher Nkunku,25.0,195000,8455,Chelsea,£150k-£200k,6
70,Enzo Fernández,22.0,180000,8455,Chelsea,£150k-£200k,6
71,Marc Cucurella,25.0,175000,8455,Chelsea,£150k-£200k,6
72,Moisés Caicedo,21.0,150000,8455,Chelsea,£100k-£150k,11
73,Malang Sarr,24.0,120000,8455,Chelsea,£100k-£150k,11
